name,unit,category,short_desc,extra_desc,context,vartype,min_val,max_val,enumvals,boot_val,reset_val
tcp_keepalives_interval,s,Client Connection Defaults / Other Defaults,Time between TCP keepalive retransmits.,A value of 0 uses the system default.,user,integer,0,2147483647,,0,0
temp_buffers,8kB,Resource Usage / Memory,Sets the maximum number of temporary buffers used by each session.,,user,integer,100,1073741823,,1024,1024
temp_file_limit,kB,Resource Usage / Disk,Limits the total size of all temporary files used by each session.,-1 means no limit.,superuser,integer,-1,2147483647,,-1,-1
temp_tablespaces,,Client Connection Defaults / Statement Behavior,Sets the tablespace(s) to use for temporary tables and sort files.,,user,string,,,,"",""
TimeZone,,Client Connection Defaults / Locale and Formatting,Sets the time zone for displaying and interpreting time stamps.,,user,string,,,,GMT,UTC
timezone_abbreviations,,Client Connection Defaults / Locale and Formatting,Selects a file of time zone abbreviations.,,user,string,,,,,Default
trace_notify,,Developer Options,Generates debugging output for LISTEN and NOTIFY.,,user,bool,,,,off,off
trace_recovery_messages,,Developer Options,Enables logging of recovery-related debugging information.,"Each level includes all the levels that follow it. The later the level, the fewer messages are sent.",sighup,enum,,,"{debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}",log,log
trace_sort,,Developer Options,Emit information about resource usage in sorting.,,user,bool,,,,off,off
track_activities,,Statistics / Query and Index Statistics Collector,Collects information about executing commands.,"Enables the collection of information on the currently executing command of each session, along with the time at which that command began execution.",superuser,bool,,,,on,on
track_activity_query_size,,Resource Usage / Memory,"Sets the size reserved for pg_stat_activity.query, in bytes.",,postmaster,integer,100,102400,,1024,1024
track_commit_timestamp,,Replication,Collects transaction commit time.,,postmaster,bool,,,,off,off
track_counts,,Statistics / Query and Index Statistics Collector,Collects statistics on database activity.,,superuser,bool,,,,on,on
track_functions,,Statistics / Query and Index Statistics Collector,Collects function-level statistics on database activity.,,superuser,enum,,,"{none,pl,all}",none,none
track_io_timing,,Statistics / Query and Index Statistics Collector,Collects timing statistics for database I/O activity.,,superuser,bool,,,,off,off
transaction_deferrable,,Client Connection Defaults / Statement Behavior,Whether to defer a read-only serializable transaction until it can be executed with no possible serialization failures.,,user,bool,,,,off,off
transaction_isolation,,Client Connection Defaults / Statement Behavior,Sets the current transaction's isolation level.,,user,string,,,,default,default
transaction_read_only,,Client Connection Defaults / Statement Behavior,Sets the current transaction's read-only status.,,user,bool,,,,off,off
transform_null_equals,,Version and Platform Compatibility / Other Platforms and Clients,"Treats ""expr=NULL"" as ""expr IS NULL"".","When turned on, expressions of the form expr = NULL (or NULL = expr) are treated as expr IS NULL, that is, they return true if expr evaluates to the null value, and false otherwise. The correct behavior of expr = NULL is to always return null (unknown).",user,bool,,,,off,off
unix_socket_directories,,Connections and Authentication / Connection Settings,Sets the directories where Unix-domain sockets will be created.,,postmaster,string,,,,/var/run/postgresql,/var/run/postgresql
unix_socket_group,,Connections and Authentication / Connection Settings,Sets the owning group of the Unix-domain socket.,The owning user of the socket is always the user that starts the server.,postmaster,string,,,,"",""
unix_socket_permissions,,Connections and Authentication / Connection Settings,Sets the access permissions of the Unix-domain socket.,Unix-domain sockets use the usual Unix file system permission set. The parameter value is expected to be a numeric mode specification in the form accepted by the chmod and umask system calls. (To use the customary octal format the number must start with a 0 (zero).),postmaster,integer,0,511,,511,511
update_process_title,,Process Title,Updates the process title to show the active SQL command.,Enables updating of the process title every time a new SQL command is received by the server.,superuser,bool,,,,on,on
vacuum_cost_delay,ms,Resource Usage / Cost-Based Vacuum Delay,Vacuum cost delay in milliseconds.,,user,integer,0,100,,0,0
vacuum_cost_limit,,Resource Usage / Cost-Based Vacuum Delay,Vacuum cost amount available before napping.,,user,integer,1,10000,,200,200
vacuum_cost_page_dirty,,Resource Usage / Cost-Based Vacuum Delay,Vacuum cost for a page dirtied by vacuum.,,user,integer,0,10000,,20,20
vacuum_cost_page_hit,,Resource Usage / Cost-Based Vacuum Delay,Vacuum cost for a page found in the buffer cache.,,user,integer,0,10000,,1,1
vacuum_cost_page_miss,,Resource Usage / Cost-Based Vacuum Delay,Vacuum cost for a page not found in the buffer cache.,,user,integer,0,10000,,10,10
vacuum_defer_cleanup_age,,Replication / Master Server,"Number of transactions by which VACUUM and HOT cleanup should be deferred, if any.",,sighup,integer,0,1000000,,0,0
vacuum_freeze_min_age,,Client Connection Defaults / Statement Behavior,Minimum age at which VACUUM should freeze a table row.,,user,integer,0,1000000000,,50000000,50000000
vacuum_freeze_table_age,,Client Connection Defaults / Statement Behavior,Age at which VACUUM should scan whole table to freeze tuples.,,user,integer,0,2000000000,,150000000,150000000
vacuum_multixact_freeze_min_age,,Client Connection Defaults / Statement Behavior,Minimum age at which VACUUM should freeze a MultiXactId in a table row.,,user,integer,0,1000000000,,5000000,5000000
vacuum_multixact_freeze_table_age,,Client Connection Defaults / Statement Behavior,Multixact age at which VACUUM should scan whole table to freeze tuples.,,user,integer,0,2000000000,,150000000,150000000
wal_block_size,,Preset Options,Shows the block size in the write ahead log.,,internal,integer,8192,8192,,8192,8192
wal_buffers,8kB,Write-Ahead Log / Settings,Sets the number of disk-page buffers in shared memory for WAL.,,postmaster,integer,-1,262143,,-1,512
wal_compression,,Write-Ahead Log / Settings,Compresses full-page writes written in WAL file.,,superuser,bool,,,,off,off
wal_keep_segments,,Replication / Sending Servers,Sets the number of WAL files held for standby servers.,,sighup,integer,0,2147483647,,0,0
wal_level,,Write-Ahead Log / Settings,Set the level of information written to the WAL.,,postmaster,enum,,,"{minimal,archive,hot_standby,logical}",minimal,minimal
wal_log_hints,,Write-Ahead Log / Settings,"Writes full pages to WAL when first modified after a checkpoint, even for a non-critical modifications.",,postmaster,bool,,,,off,off
wal_receiver_status_interval,s,Replication / Standby Servers,Sets the maximum interval between WAL receiver status reports to the primary.,,sighup,integer,0,2147483,,10,10
wal_receiver_timeout,ms,Replication / Standby Servers,Sets the maximum wait time to receive data from the primary.,,sighup,integer,0,2147483647,,60000,60000
wal_retrieve_retry_interval,ms,Replication / Standby Servers,Sets the time to wait before retrying to retrieve WAL after a failed attempt.,,sighup,integer,1,2147483647,,5000,5000
wal_segment_size,8kB,Preset Options,Shows the number of pages per write ahead log segment.,,internal,integer,2048,2048,,2048,2048
wal_sender_timeout,ms,Replication / Sending Servers,Sets the maximum time to wait for WAL replication.,,sighup,integer,0,2147483647,,60000,60000
wal_sync_method,,Write-Ahead Log / Settings,Selects the method used for forcing WAL updates to disk.,,sighup,enum,,,"{fsync,fdatasync,open_sync,open_datasync}",fdatasync,fdatasync
wal_writer_delay,ms,Write-Ahead Log / Settings,WAL writer sleep time between WAL flushes.,,sighup,integer,1,10000,,200,200
work_mem,kB,Resource Usage / Memory,Sets the maximum memory to be used for query workspaces.,This much memory can be used by each internal sort operation and hash table before switching to temporary disk files.,user,integer,64,2147483647,,4096,4096
xmlbinary,,Client Connection Defaults / Statement Behavior,Sets how binary values are to be encoded in XML.,,user,enum,,,"{base64,hex}",base64,base64
xmloption,,Client Connection Defaults / Statement Behavior,Sets whether XML data in implicit parsing and serialization operations is to be considered as documents or content fragments.,,user,enum,,,"{content,document}",content,content
zero_damaged_pages,,Developer Options,Continues processing past damaged page headers.,"Detection of a damaged page header normally causes PostgreSQL to report an error, aborting the current transaction. Setting zero_damaged_pages to true causes the system to instead report a warning, zero out the damaged page, and continue processing. This behavior will destroy data, namely all the rows on the damaged page.",superuser,bool,,,,off,off
